"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"Riverside","MA","Boston","Middlesex","Cambridge",1031,2627,-0.000380517503805175,0.00883256528417819,0.00458891013384321,2178
2017-10-31,"Downtown","HI","Urban Honolulu","Honolulu","Honolulu",1032,1970,-0.0015205271160669,0.00818833162743091,0.0324947589098532,4544
2017-10-31,"Mid-Cambridge","MA","Boston","Middlesex","Cambridge",1033,2597,0.000385208012326656,0.0116867939228672,0.00154261473197069,4690
2017-10-31,"North Riverdale","NY","New York","Bronx","New York",1034,2066,0.000484261501210654,0.0112579539892315,0.0324837581209395,2453
2017-10-31,"Midway","MN","Minneapolis-St Paul","Ramsey","Saint Paul",1035,1445,0.0104895104895105,0.0154602951510892,0.029935851746258,3460
2017-10-31,"Santa Anita","CA","Los Angeles-Long Beach-Anaheim","Orange","Santa Ana",1036,2552,0.000784313725490196,-0.000391696043869957,0.0416326530612245,1073
2017-10-31,"Heritage","TX","San Antonio","Bexar","San Antonio",1037,1211,0.00248344370860927,0.00832639467110741,0.0297619047619048,4432
2017-10-31,"Roosevelt Island","NY","New York","New York","New York",1038,3374,0.0023767082590612,0.00536352800953516,0.0153475774902197,1180
2017-10-31,"Willmore City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",1039,2108,0.00668576886341929,0.0139490139490139,0.076608784473953,1563
2017-10-31,"Downtown","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",1040,2202,0.00227583067819754,-0.000907441016333938,-0.0704938792739553,17045
2017-10-31,"Riverwest","WI","Milwaukee","Milwaukee","Milwaukee",1041,985,0.00510204081632653,0.00407747196738022,0.00510204081632653,3746
2017-10-31,"South Broad Street","NJ","New York","Essex","Newark",1042,1482,0.0102249488752556,0.0213645761543763,0.0164609053497942,1333
2017-10-31,"Southwyck","OH","Toledo","Lucas","Toledo",1043,1189,-0.0230073952341824,-0.0825617283950617,-0.0278004905968929,2898
2017-10-31,"Old Irving Park","IL","Chicago","Cook","Chicago",1044,1769,-0.00112930547713156,0.00797720797720798,0.0272938443670151,3462
2017-10-31,"Admiral","WA","Seattle","King","Seattle",1045,2863,0.00245098039215686,0.0148883374689826,0.0595854922279793,4616
2017-10-31,"Jamestown","GA","Augusta","Richmond","Augusta",1046,997,0.00808897876643074,0.0225641025641026,0.0617678381256656,4016
2017-10-31,"Glenmoor","CA","San Francisco","Alameda","Fremont",1047,3225,0.000310173697270471,-0.000619770684846607,0.0144699591066373,3242
2017-10-31,"Muskego Way","WI","Milwaukee","Milwaukee","Milwaukee",1048,794,0.00633713561470215,0.00126103404791929,0.00252525252525253,2268
2017-10-31,"Belmont Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",1049,2679,-0.00111856823266219,0.00261976047904192,0.0367647058823529,3941
2017-10-31,"Sun City Summerlin","NV","Las Vegas","Clark","Las Vegas",1050,1382,0.00655498907501821,0.0176730486008837,0.0344311377245509,7952
2017-10-31,"Cabrillo","CA","San Francisco","Alameda","Fremont",1051,3038,0.00596026490066225,0.014018691588785,0.0273926276631721,3094
2017-10-31,"Ravenna","WA","Seattle","King","Seattle",1052,2948,-0.00840901446350488,-0.00907563025210084,0.0369328174463595,4109
2017-10-31,"Buckeye Shaker","OH","Cleveland","Cuyahoga","Cleveland",1053,832,0.00848484848484849,0.0221130221130221,0.0171149144254279,3535
2017-10-31,"Glenbrook","CT","Stamford","Fairfield","Stamford",1054,2128,0.0023551577955723,0.00377358490566038,-0.0143584993052339,4531
2017-10-31,"Dobson Ranch","AZ","Phoenix","Maricopa","Mesa",1055,1420,0.0056657223796034,0.017921146953405,0.047970479704797,5733
2017-10-31,"Downtown","VA","Virginia Beach","Hampton City","Hampton",1056,1081,-0.00276752767527675,-0.0109789569990851,-0.00276752767527675,4298
2017-10-31,"Fairmuont","NJ","New York","Essex","Newark",1057,1454,0.0111265646731572,0.0210674157303371,-0.00547195622435021,2655
2017-10-31,"University Heights","CA","San Diego","San Diego","San Diego",1058,2368,0.00466694951209164,0.0189328743545611,0.0729497054825555,3383
2017-10-31,"Bay Ho","CA","San Diego","San Diego","San Diego",1059,2739,0.00476889214966985,0.0159495548961424,0.0682527301092044,4444
2017-10-31,"Bulls Head","NY","New York","Richmond","New York",1060,2172,0.00602130616025938,0.0259801606046292,0.0497825036249396,3470
2017-10-31,"Wicker Park","IL","Chicago","Cook","Chicago",1061,2264,-0.0017636684303351,-0.00308234258036107,-0.0177874186550976,3419
2017-10-31,"Bagley","MI","Detroit","Wayne","Detroit",1062,852,0.00117508813160987,0.00947867298578199,0.0544554455445545,4568
2017-10-31,"Russian Jack Park","AK","Anchorage","Anchorage","Anchorage",1063,1449,-0.00617283950617284,-0.0129427792915531,-0.0384870603848706,3036
2017-10-31,"Boerum Hill","NY","New York","Kings","New York",1064,2974,-0.000672043010752688,0.00711141212326448,0.0279986173522295,3407
2017-10-31,"Windy Hill","FL","Jacksonville","Duval","Jacksonville",1065,1136,0,0.0142857142857143,0.0364963503649635,3727
2017-10-31,"Grand Crossing","IL","Chicago","Cook","Chicago",1066,1286,0,0.0125984251968504,0.0031201248049922,2586
2017-10-31,"Corona Hills","CA","Riverside","Riverside","Corona",1067,2173,0.00415896487985213,0.0121099208197485,0.0303461356092935,3211
2017-10-31,"Jamaica Hills","NY","New York","Queens","New York",1068,2244,-0.00531914893617021,-0.00620017714791851,0.00312919088064372,2035
2017-10-31,"Como","MN","Minneapolis-St Paul","Ramsey","Saint Paul",1069,1575,0.00510529674537333,0.0180995475113122,0.0361842105263158,3774
2017-10-31,"North Hill","WA","Spokane","Spokane","Spokane",1070,1042,0.00288739172281039,0.00871248789932236,0.101479915433404,4971
2017-10-31,"Lower Pacific Heights","CA","San Francisco","San Francisco","San Francisco",1071,4469,-0.00356744704570792,-0.00755052187430602,-0.0535789919525625,2787
2017-10-31,"Ballston-Virginia Square","VA","Washington","Arlington","Arlington",1072,2475,0.00446428571428571,0.0139287177386317,0.0368663594470046,5369
2017-10-31,"Cambridgeport","MA","Boston","Middlesex","Cambridge",1073,2744,-0.000364298724954463,0.00993743099006257,0.00808229243203527,3274
2017-10-31,"Amber Hills","CA","Riverside","San Bernardino","San Bernardino",1074,1731,0.00581057524694945,0.0303571428571429,0.0645756457564576,2592
2017-10-31,"Downtown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",1075,2003,0.00350701402805611,0.0162354134956875,0.0575501583949314,4265
